Repository Name,Repository URL,Default Branch,Star Count,Description,Update_date
kcp,https://github.com/skywind3000/kcp,master,13847,:zap: KCP - A Fast and Reliable ARQ Protocol,2023-11-21T17:37:14Z
raspberry-pi-os,https://github.com/s-matyukevich/raspberry-pi-os,master,12577,Learning operating system development using Linux kernel and Raspberry Pi,2023-11-22T07:59:07Z
tengine,https://github.com/alibaba/tengine,master,12364,A distribution of Nginx with some advanced features,2023-11-22T08:55:27Z
twemproxy,https://github.com/twitter/twemproxy,master,11932,"A fast, light-weight proxy for memcached and redis",2023-11-22T01:37:17Z
reactos,https://github.com/reactos/reactos,master,13447,A free Windows-compatible Operating System,2023-11-22T09:02:01Z
skynet,https://github.com/cloudwu/skynet,master,12326,A lightweight online game framework,2023-11-22T10:02:56Z
brotli,https://github.com/google/brotli,master,12694,Brotli compression format,2023-11-22T09:09:40Z
robotjs,https://github.com/octalmage/robotjs,master,11932,Node.js Desktop Automation. ,2023-11-20T15:34:06Z
tig,https://github.com/jonas/tig,master,11900,Text-mode interface for git,2023-11-21T13:47:40Z
sway,https://github.com/swaywm/sway,master,13034,i3-compatible Wayland compositor,2023-11-22T07:55:38Z
blurhash,https://github.com/woltapp/blurhash,master,14535,A very compact representation of a placeholder for an image.,2023-11-22T05:56:30Z
postgres,https://github.com/postgres/postgres,master,13592,"Mirror of the official PostgreSQL GIT repository. Note that this is just a *mirror* - we don't work with pull requests on github. To contribute, please see https://wiki.postgresql.org/wiki/Submitting_a_Patch",2023-11-22T10:07:49Z
HandBrake,https://github.com/HandBrake/HandBrake,master,14281,HandBrake's main development repository ,2023-11-22T10:12:43Z
openresty,https://github.com/openresty/openresty,master,11753,High Performance Web Platform Based on Nginx and LuaJIT,2023-11-22T07:46:07Z
raylib,https://github.com/raysan5/raylib,master,16224,A simple and easy-to-use library to enjoy videogames programming,2023-11-22T05:57:46Z
esp8266_deauther,https://github.com/SpacehuhnTech/esp8266_deauther,v2,12362,Affordable WiFi hacking platform for testing and learning,2023-11-22T05:53:33Z
webview,https://github.com/webview/webview,master,11632,Tiny cross-platform webview library for C/C++. Uses WebKit (GTK/Cocoa) and Edge WebView2 (Windows).,2023-11-22T09:02:22Z
lvgl,https://github.com/lvgl/lvgl,master,13676,"Embedded graphics library to create beautiful UIs for any MCU, MPU and display type. It's boosted by a professional yet affordable drag and drop UI editor, called SquareLine Studio.",2023-11-22T08:57:39Z
libsodium,https://github.com/jedisct1/libsodium,master,11596,"A modern, portable, easy to use crypto library.",2023-11-22T10:44:52Z
